2026-04-12 10:36:27.944 | INFO     | main:lifespan:46 | Categories: 17
2026-04-12 10:36:27.944 | INFO     | main:lifespan:47 | ============================================================
2026-04-12 10:47:04.493 | INFO     | main:lifespan:30 | ============================================================
2026-04-12 10:47:04.494 | INFO     | main:lifespan:31 | [START] SwarajDesk AI Report Generator -- Starting Up
2026-04-12 10:47:04.494 | INFO     | main:lifespan:32 | ============================================================
2026-04-12 10:47:04.945 | INFO     | config.vector_db_config:verify_collections:87 | Collection 'survey_collection': 12121 records
2026-04-12 10:47:05.165 | INFO     | config.vector_db_config:verify_collections:87 | Collection 'backend_collection': 6500 records
2026-04-12 10:47:05.165 | INFO     | main:lifespan:38 | [OK] survey_collection: 12121 records
2026-04-12 10:47:05.166 | INFO     | main:lifespan:38 | [OK] backend_collection: 6500 records
2026-04-12 10:47:05.167 | INFO     | main:lifespan:45 | LLM Model: gemini-2.5-pro
2026-04-12 10:47:05.167 | INFO     | main:lifespan:46 | Categories: 17
2026-04-12 10:47:05.168 | INFO     | main:lifespan:47 | ============================================================
2026-04-12 10:47:30.343 | INFO     | config.vector_db_config:verify_collections:87 | Collection 'survey_collection': 12121 records
2026-04-12 10:47:30.345 | INFO     | config.vector_db_config:verify_collections:87 | Collection 'backend_collection': 6500 records
2026-04-12 10:48:18.946 | INFO     | utils.validator:resolve_category:35 | Category exact match: 'Health' → 'Health'
2026-04-12 10:48:18.946 | INFO     | app.routes.survey_report:generate_survey_report:71 | Category resolved: 'Health' → 'Health'
2026-04-12 10:48:18.950 | INFO     | models.llm.llm_loader:get_llm:221 | Creating GeminiLLM singleton instance...
2026-04-12 10:48:18.951 | INFO     | models.llm.llm_loader:__init__:48 | Initializing Gemini LLM: gemini-2.5-pro
2026-04-12 10:48:18.952 | INFO     | models.llm.llm_loader:__init__:65 | Gemini LLM ready: model=gemini-2.5-pro, temp=0.3, max_tokens=8192
2026-04-12 10:48:18.953 | INFO     | app.dependencies:get_embedding_fn:35 | Initializing embedding function...
2026-04-12 10:48:18.953 | INFO     | config.vector_db_config:get_embedding_function:23 | Loading embedding model: gemini-embedding-001
2026-04-12 10:48:21.435 | INFO     | config.vector_db_config:get_vector_store:49 | Loading vector store: collection='survey_collection', path='D:\GEN_AI_PROJECTS\5_Report_Generator\data\embeddings'
